"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @sleepisocialist: The Twitter disaster has really clarified the uselessness of billionaires. These freaks need to be taxed out of existe…",FALSE,0,,2022-11-05 05:52:29,FALSE,,"1588771212020576256",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","H_A_R_R_E",171,TRUE,FALSE,,
"How old is Atiku and Bola tinubu Amoda Ogunlere? Ask yourself what magic are they going to perform to change Nigeri… https://t.co/6QEyRKhL0E",FALSE,1,,2022-11-05 05:52:28,TRUE,,"1588771208174403587",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnHar15896711",1,FALSE,FALSE,,
"RT @koryodynasty: Today at the Itaewon disaster altar in Seoul Plaza, a woman who identified as the mother of one of the victims threw the…",FALSE,0,,2022-11-05 05:52:28,FALSE,,"1588771206958047233",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nattchodo",8164,TRUE,FALSE,,
"RT @2_auxipr_CN: 2022.11.04 The Chinese Communist Party has already defeated the West with the vaccine disaster. The Chinese people and all…",FALSE,0,,2022-11-05 05:52:24,FALSE,,"1588771192517038080",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gpinye5056",18,TRUE,FALSE,,
"RT @jimwarnock: Born and raised in AR. Attend a Southern Baptist church &amp; volunteer with Baptist Disaster Relief. Retired educator. Married…",FALSE,0,,2022-11-05 05:52:24,FALSE,,"1588771191233576960",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanielAdamsInk",108,TRUE,FALSE,,
"RT @DefenceU: The russian occupiers staged a man-made natural disaster in the Kharkiv region. 
While retreating, they blew up the floodgate…",FALSE,0,,2022-11-05 05:52:24,FALSE,,"1588771190390525957",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Hlopak_",2495,TRUE,FALSE,,
"RT @2_auxipr_CN: 2022.11.04 The Chinese Communist Party has already defeated the West with the vaccine disaster. The Chinese people and all…",FALSE,0,,2022-11-05 05:52:23,FALSE,,"1588771185604845568",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wanliu222",18,TRUE,FALSE,,
"RT @allkpop: Boy group #ATEEZ donates 100 million KRW to the Korea Disaster Relief Association to support recovery after Itaewon tragedy
ht…",FALSE,0,,2022-11-05 05:52:21,FALSE,,"1588771179015589889",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AuraPurple7",2602,TRUE,FALSE,,
"Dreamt that I had 2 cars and got stuck with them in one place once and had to find a way to drive them both back ho… https://t.co/9fxlgG0O2n",FALSE,0,,2022-11-05 05:52:19,TRUE,,"1588771171738480640",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amukawu52",0,FALSE,FALSE,,
"RT @ATEEZUD: [ 221105 | 📰 ] ATEEZ 100M won donation for Hope Bridge National Disaster Relief Association 

Visit, React, Recommend and Shar…",FALSE,0,,2022-11-05 05:52:16,FALSE,,"1588771158736121857",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","matetsu_17",325,TRUE,FALSE,,
"RT @vanessatsehaye: Not a second has passed that my entire being hasn't been shaking of anger because of the complicity of the African Unio…",FALSE,0,,2022-11-05 05:52:16,FALSE,,"1588771155435229184",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eleni_mehari",61,TRUE,FALSE,,
